Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2016,1,Khatib,59,48.5,38,26.4,0.0,3.3199999999999994,11.0,13.2,13.4,28.01,33.8,23.2,5.85,33.1
2016,2,Khatib,71,62.5,54,22.6,0.0,7.685714285714285,12.2,16.8,20.4,28.057142857142853,33.5,24.2,4.828571428571427,29.9
2016,3,Khatib,98,83.5,69,4.0,0.0,1.1714285714285713,2.4,2.8,3.0,28.271428571428572,34.3,24.6,5.257142857142857,37.1
2016,4,Khatib,115,110.5,106,13.0,0.0,3.4285714285714284,6.2,8.0,10.0,28.271428571428572,33.9,24.7,5.857142857142858,48.6
2016,5,Khatib,92,91.5,91,27.4,0.0,8.057142857142859,13.2,20.6,21.8,28.02857142857143,33.6,24.2,6.057142857142857,33.1
2016,6,Khatib,55,52.0,49,16.6,0.0,4.371428571428572,13.0,16.2,16.2,27.485714285714284,33.8,22.2,5.871428571428572,31.3
2016,7,Khatib,59,56.5,54,91.0,0.0,13.085714285714287,19.0,34.8,42.2,27.442857142857147,34.0,23.7,6.142857142857142,37.1
2016,8,Khatib,94,85.0,76,5.6,0.0,0.8285714285714285,2.6,2.6,3.2,28.0,33.3,24.3,6.942857142857143,41.8
2016,9,Khatib,74,67.5,61,0.4,0.0,0.05714285714285715,0.4,0.4,0.4,28.742857142857147,34.5,25.8,7.6,38.2
2016,10,Khatib,58,49.0,40,13.6,0.0,5.771428571428572,6.4,6.8,9.6,28.685714285714283,34.9,24.9,5.871428571428571,30.2
2016,11,Khatib,34,33.0,32,3.4,0.0,0.5714285714285714,3.2,3.2,3.4,28.97142857142857,34.8,24.8,5.871428571428572,29.9
2016,12,Khatib,34,33.5,33,44.2,0.0,10.0,35.8,44.0,44.2,28.771428571428572,34.6,23.4,5.385714285714287,33.1
2016,13,Khatib,16,16.0,16,25.6,0.0,3.6571428571428575,12.4,13.6,25.4,29.32857142857143,35.4,24.3,6.6571428571428575,35.3
2016,14,Khatib,26,20.0,14,28.8,0.0,4.114285714285715,19.6,21.0,27.8,29.114285714285717,35.7,24.7,5.085714285714286,28.8
2016,15,Khatib,19,16.5,14,5.8,0.0,2.085714285714286,5.2,5.8,5.8,29.214285714285715,35.3,25.4,3.9,36.7
2016,16,Khatib,20,17.0,14,39.6,0.0,7.7714285714285705,26.0,28.6,28.6,29.428571428571423,35.6,25.4,4.728571428571428,32.0
2016,17,Khatib,19,18.5,18,37.2,0.0,16.82857142857143,30.2,37.0,37.2,27.842857142857138,34.7,23.7,3.3714285714285714,33.1
2016,18,Khatib,11,11.0,11,11.2,0.0,3.1428571428571423,11.0,11.0,11.0,28.885714285714283,35.1,25.2,3.8428571428571434,35.6
2016,19,Khatib,23,17.5,12,81.2,0.0,17.02857142857143,50.4,66.4,79.8,28.385714285714283,35.5,24.5,3.428571428571428,40.3
2016,20,Khatib,49,36.5,24,33.2,0.0,10.885714285714288,17.8,26.8,30.6,28.185714285714287,34.6,24.6,3.4857142857142858,37.8
2016,21,Khatib,40,37.5,35,32.2,0.0,5.514285714285713,12.8,16.4,24.4,28.914285714285718,34.8,23.7,4.1,29.5
2016,22,Khatib,44,38.5,33,44.6,0.0,7.628571428571428,35.0,43.2,44.6,27.37142857142857,34.0,23.5,3.2857142857142856,33.1
2016,23,Khatib,40,37.0,34,55.6,0.0,10.05714285714286,31.8,51.4,53.2,27.885714285714283,33.8,22.4,3.6571428571428566,34.2
2016,24,Khatib,30,29.0,28,56.2,0.0,14.571428571428573,28.0,46.2,56.0,27.02857142857143,33.9,24.0,3.1714285714285717,32.0
2016,25,Khatib,25,22.0,19,32.6,0.0,5.171428571428573,11.4,19.0,26.6,27.685714285714287,33.3,22.8,3.8,37.1
2016,26,Khatib,26,24.0,22,0.0,0.0,0.0,0.0,0.0,0.0,29.75714285714286,34.9,25.7,4.671428571428573,23.0
2016,27,Khatib,26,25.0,24,5.4,0.0,0.8285714285714286,2.6,3.4,4.2,29.142857142857146,34.7,23.8,4.885714285714286,30.2
2016,28,Khatib,36,31.5,27,42.0,0.0,8.971428571428572,26.8,40.6,41.4,27.37142857142857,34.3,23.7,3.571428571428572,39.2
2016,29,Khatib,24,21.0,18,24.0,0.6,8.028571428571428,18.2,21.6,22.8,26.7,33.2,23.1,3.6571428571428575,40.0
2016,30,Khatib,27,21.0,15,42.4,0.0,8.057142857142857,35.8,42.2,42.2,27.242857142857147,33.3,22.2,3.6428571428571432,36.0
2016,31,Khatib,33,30.5,28,3.6,0.0,0.5714285714285714,3.0,3.0,3.4,28.24285714285714,33.5,22.1,4.799999999999999,41.0
2016,32,Khatib,22,19.5,17,6.4,0.0,1.1428571428571428,6.4,6.4,6.4,28.571428571428577,33.9,24.6,4.271428571428571,33.8
2016,33,Khatib,19,18.5,18,20.6,0.0,6.2857142857142865,14.4,19.6,20.6,28.8,33.9,22.6,5.557142857142856,34.9
2016,34,Khatib,20,19.5,19,33.0,0.0,4.714285714285714,22.0,27.0,30.8,28.57142857142857,33.4,23.8,4.414285714285715,35.6
2016,35,Khatib,33,26.5,20,10.0,0.0,2.7142857142857144,9.6,9.8,10.0,27.92857142857143,34.2,23.8,3.8000000000000007,33.5
2016,36,Khatib,31,28.0,25,13.0,0.0,4.228571428571429,12.6,12.8,12.8,27.714285714285715,33.4,22.8,4.728571428571429,36.0
2016,37,Khatib,37,28.0,19,20.6,0.0,5.6000000000000005,10.2,10.6,19.0,27.557142857142853,33.5,22.4,3.971428571428572,41.0
2016,38,Khatib,33,31.5,30,7.2,0.0,1.3714285714285714,4.6,5.4,6.0,28.25714285714286,34.4,24.0,4.228571428571429,38.5
2016,39,Khatib,25,21.5,18,9.0,0.0,1.2857142857142858,7.6,8.6,9.0,28.657142857142855,35.8,23.4,3.971428571428572,46.8
