Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Max PSI East,Avg PSI East
2015,18,Changi,12.0,9.0,6.0,22.2,0.0,6.057142857142857,13.2,16.2,18.0,27.814285714285717,33.3,24.0,5.442857142857144,37.1,,
2015,19,Changi,25.0,25.0,25.0,5.0,0.0,1.6,4.4,4.8,5.0,28.657142857142855,33.2,24.4,8.4,38.2,,
2015,20,Changi,24.0,23.0,22.0,16.6,0.0,4.2,16.4,16.6,16.6,28.87142857142857,34.2,24.9,8.885714285714283,37.1,,
2015,21,Changi,12.0,10.5,9.0,5.4,0.0,1.1142857142857143,1.8,2.8,4.4,28.74285714285714,33.0,25.3,8.714285714285715,41.0,,
2015,22,Changi,8.0,6.5,5.0,2.0,0.0,0.2857142857142857,1.0,1.4,1.4,29.214285714285715,34.2,25.4,10.585714285714284,51.5,,
2015,23,Changi,9.0,8.0,7.0,28.4,0.0,6.457142857142857,17.2,18.6,19.4,28.95714285714286,34.3,24.9,8.22857142857143,40.3,,
2015,24,Changi,15.0,12.0,9.0,17.4,0.0,4.8,10.4,10.6,10.6,28.0,32.5,24.2,6.842857142857143,35.3,,
2015,25,Changi,14.0,14.0,14.0,3.8,0.0,0.6,3.8,3.8,3.8,28.92857142857143,32.5,24.8,10.0,36.7,,
2015,26,Changi,19.0,14.0,9.0,12.8,0.0,1.8285714285714287,12.8,12.8,12.8,29.885714285714283,33.2,25.2,14.085714285714287,44.3,,
2015,27,Changi,21.0,19.0,17.0,22.2,0.0,4.142857142857143,15.4,20.4,22.2,29.042857142857148,32.8,22.1,10.228571428571428,59.4,,
2015,28,Changi,17.0,15.0,13.0,20.0,0.0,4.857142857142857,17.4,19.8,20.0,29.114285714285717,32.4,23.6,10.928571428571427,36.0,,
2015,29,Changi,25.0,18.5,12.0,45.8,0.0,6.8,41.6,45.0,45.6,29.271428571428572,32.6,24.2,13.071428571428573,45.7,,
2015,30,Changi,19.0,18.5,18.0,3.6,0.0,0.5714285714285714,2.8,2.8,2.8,29.228571428571428,32.7,24.3,13.100000000000005,50.4,,
2015,31,Changi,28.0,28.0,28.0,2.2,0.0,0.5428571428571429,0.8,1.2,1.4,28.41428571428571,32.7,24.1,11.742857142857142,52.9,,
2015,32,Changi,23.0,23.0,23.0,28.2,0.0,13.8,26.6,28.0,28.2,27.41428571428571,31.0,22.6,8.985714285714286,47.5,,
2015,33,Changi,18.0,18.0,18.0,63.2,0.0,9.171428571428573,29.4,47.8,57.6,28.42857142857143,32.3,23.7,12.285714285714285,49.0,,
2015,34,Changi,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,28.914285714285718,32.7,26.2,12.085714285714285,42.5,,
2015,35,Changi,8.0,8.0,8.0,22.2,0.0,3.3428571428571425,19.0,22.2,22.2,28.92857142857143,33.1,24.4,13.571428571428573,40.7,,
2015,36,Changi,32.0,25.5,19.0,0.4,0.0,0.05714285714285715,0.2,0.2,0.2,29.228571428571424,33.2,27.0,14.557142857142859,42.1,,
