Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Max PSI West,Avg PSI West
2016,19,Tuas South,3.0,2.5,2.0,8.2,1.0,4.057142857142857,6.6,8.2,8.2,28.98,34.3,25.8,5.185714285714285,28.8,62.0,53.403726708074544
2016,20,Tuas South,1.0,0.5,0.0,26.2,0.0,6.285714285714287,18.0,19.2,19.4,29.342857142857145,33.0,24.6,6.685714285714285,46.4,70.0,49.6125
2016,21,Tuas South,2.0,1.0,0.0,22.4,0.0,3.314285714285714,21.0,22.2,22.2,30.1,34.4,25.1,6.7857142857142865,49.7,55.0,42.610687022900755
2016,22,Tuas South,2.0,1.5,1.0,21.8,0.0,3.171428571428572,10.6,16.6,20.8,28.84,32.2,25.2,5.471428571428573,54.0,66.0,61.23958333333334
2016,23,Tuas South,0.0,0.0,0.0,2.4,0.0,0.6285714285714287,0.8,1.2,1.8,28.2,33.4,24.9,6.171428571428572,66.2,62.0,54.480769230769226
2016,24,Tuas South,2.0,2.0,2.0,208.2,0.0,32.17142857142857,41.6,73.6,94.4,27.85,31.2,24.0,6.585714285714286,45.0,55.0,41.929936305732475
2016,25,Tuas South,2.0,1.0,0.0,29.2,0.0,4.314285714285714,12.0,19.2,23.8,28.96,32.6,23.5,5.614285714285713,64.4,56.0,48.79738562091503
2016,26,Tuas South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,33.9,27.8,5.457142857142856,22.3,62.0,50.70860927152318
2016,27,Tuas South,0.0,0.0,0.0,35.0,0.0,5.142857142857143,14.8,23.2,30.4,,34.1,24.0,5.228571428571428,42.5,55.0,48.55974842767296
2016,28,Tuas South,0.0,0.0,0.0,35.6,0.0,18.54285714285714,22.2,26.8,30.2,28.228571428571428,33.5,23.6,5.799999999999999,52.6,60.0,50.940740740740736
2016,29,Tuas South,0.0,0.0,0.0,53.0,0.4,13.542857142857144,26.6,29.0,29.2,27.67142857142857,31.6,23.9,6.757142857142857,42.1,56.0,44.358974358974365
2016,30,Tuas South,0.0,0.0,0.0,23.8,0.0,4.0285714285714285,16.8,22.6,23.0,28.214285714285715,31.6,23.8,5.242857142857143,54.4,62.0,52.59285714285714
2016,31,Tuas South,4.0,2.0,0.0,35.8,0.0,5.514285714285713,34.0,34.4,35.4,28.92857142857143,32.6,23.9,6.928571428571429,64.8,61.0,53.73717948717949
2016,32,Tuas South,7.0,7.0,7.0,9.8,0.0,2.2,9.8,9.8,9.8,29.47142857142857,32.3,25.9,7.042857142857144,38.5,64.0,56.74509803921568
2016,33,Tuas South,2.0,1.0,0.0,18.6,0.0,5.114285714285714,15.4,16.6,16.8,29.37142857142857,32.9,23.0,6.371428571428572,59.0,58.0,46.230769230769226
