,Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,avg_daily_rainfall_total,highest_60_min_rainfall,mean_temperature,range_temperature,mean_wind_speed,historical_cases_week
190,2017,38,Changi,2,1.0,0,3.521428571428572,12.45,28.039285714285718,7.500000000000003,10.32857142857143,2.833333333333333
191,2017,39,Changi,2,1.5,1,3.0785714285714287,9.85,28.139285714285712,7.950000000000001,9.992857142857142,2.333333333333333
192,2017,40,Changi,8,5.0,2,4.207142857142858,10.95,27.957142857142852,8.175,8.971428571428572,1.6666666666666667
193,2017,42,Changi,13,11.0,8,4.292857142857144,11.45,27.717857142857145,8.825,7.314285714285713,2.5
194,2017,41,Changi,13,13.0,13,4.550000000000002,12.1,27.82142857142857,8.5,7.642857142857142,1.3333333333333333
195,2017,43,Changi,19,19.0,19,4.9,14.6,27.685714285714283,8.600000000000001,6.792857142857143,6.5
196,2017,44,Changi,15,14.0,13,3.5071428571428567,12.35,28.1,8.600000000000001,6.742857142857141,9.666666666666666
197,2017,45,Changi,15,12.0,9,4.142857142857143,13.0,28.017857142857146,9.1,6.489285714285713,14.333333333333336
198,2017,46,Changi,8,8.0,8,3.5142857142857142,11.15,27.99285714285714,9.0,6.45,14.666666666666664
199,2017,47,Changi,12,9.5,7,6.250000000000001,11.9,27.592857142857145,8.8,6.192857142857143,15.0
200,2017,48,Changi,5,4.0,3,9.150000000000002,18.65,27.12142857142857,9.05,5.914285714285714,11.333333333333336
201,2017,49,Changi,5,3.5,2,9.164285714285716,18.2,27.014285714285716,8.774999999999999,6.171428571428572,9.833333333333334
202,2017,50,Changi,7,6.5,6,9.407142857142857,19.8,27.067857142857147,8.924999999999997,6.4642857142857135,7.166666666666668
203,2017,51,Changi,5,4.5,4,7.000000000000001,14.7,27.20714285714286,9.025,6.807142857142857,5.666666666666668
204,2017,52,Changi,5,5.0,5,8.728571428571428,23.1,27.1,8.925,7.2178571428571425,4.666666666666667
205,2018,1,Changi,5,4.0,3,9.592857142857143,31.85,27.12142857142857,8.900000000000002,8.064285714285713,4.833333333333333
206,2018,2,Changi,9,7.5,6,13.2,36.05,26.867857142857147,8.650000000000002,8.299999999999999,5.333333333333333
207,2018,3,Changi,6,5.5,5,12.264285714285714,35.55,26.62857142857143,8.325,8.285714285714286,4.5
208,2018,4,Changi,7,6.5,6,12.842857142857143,29.05,26.042857142857148,8.599999999999998,8.35,5.5
209,2018,5,Changi,14,10.0,6,11.807142857142859,23.75,25.92857142857143,8.8,7.925000000000002,5.666666666666668
210,2018,6,Changi,18,15.5,13,8.700000000000001,19.2,25.989285714285717,9.1,7.453571428571429,6.5
211,2018,7,Changi,9,8.5,8,9.442857142857145,24.8,26.225,10.075,8.460714285714285,7.333333333333332
212,2018,8,Changi,2,1.0,0,4.207142857142856,16.05,26.725,9.375000000000002,9.77142857142857,10.666666666666666
213,2018,9,Changi,0,0.0,0,3.2357142857142853,10.5,26.889285714285712,8.975000000000003,10.667857142857144,11.333333333333336
214,2018,10,Changi,7,3.5,0,2.0785714285714283,8.75,27.1,8.875,11.935714285714289,8.333333333333334
215,2018,11,Changi,12,8.5,5,0.15714285714285714,0.9,27.353571428571428,8.224999999999998,11.9,3.1666666666666665
216,2018,12,Changi,13,11.5,10,0.9285714285714284,3.6,27.65714285714286,8.774999999999999,11.392857142857142,1.5
217,2018,13,Changi,6,4.5,3,0.9214285714285714,3.5500000000000003,27.964285714285715,9.0,11.282142857142858,4.0
218,2018,14,Changi,13,9.5,6,1.1357142857142857,4.6,28.15357142857143,9.125,10.910714285714283,7.833333333333332
219,2018,15,Changi,9,7.5,6,1.5071428571428571,4.7,27.932142857142853,9.45,9.982142857142858,8.166666666666666
220,2018,16,Changi,5,4.5,4,0.9214285714285716,2.95,28.135714285714286,9.15,9.860714285714286,8.5
221,2018,17,Changi,6,5.5,5,1.435714285714286,5.050000000000002,28.242857142857147,9.349999999999998,9.5,7.166666666666668
222,2018,18,Changi,14,11.5,9,1.2785714285714285,4.0,28.185714285714287,9.249999999999998,8.85,7.166666666666668
