Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Max PSI Central,Avg PSI Central
2015,37,Ang Mo Kio,59.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,28.457142857142852,32.8,24.4,6.557142857142857,38.5,,
2015,38,Ang Mo Kio,41.0,41.0,41.0,8.6,0.0,1.7428571428571429,2.6,2.8,5.4,28.414285714285718,33.7,23.9,6.6571428571428575,31.3,,
2015,39,Ang Mo Kio,,,,4.2,0.0,0.6857142857142857,4.2,4.2,4.2,28.842857142857138,32.7,26.1,5.7714285714285705,33.1,,
2015,40,Ang Mo Kio,57.0,55.0,53.0,79.6,0.0,17.771428571428572,37.0,58.2,75.4,28.08571428571429,32.6,22.5,5.471428571428571,73.8,,
2015,41,Ang Mo Kio,62.0,62.0,62.0,33.4,0.0,6.0285714285714285,31.2,33.4,33.4,28.442857142857147,34.0,22.9,5.128571428571429,43.2,,
2015,42,Ang Mo Kio,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,29.32857142857143,34.9,26.4,6.328571428571429,30.6,,
2015,43,Ang Mo Kio,,,,22.4,0.0,3.4285714285714284,13.8,15.4,15.4,29.2,33.5,23.3,7.142857142857142,40.0,,
2015,44,Ang Mo Kio,64.0,56.0,48.0,32.2,0.0,7.542857142857144,21.6,32.2,32.2,27.814285714285717,34.2,22.0,4.828571428571427,51.5,,
2015,45,Ang Mo Kio,57.0,57.0,57.0,10.6,0.0,3.8571428571428568,8.2,8.2,8.2,27.757142857142853,33.2,23.2,4.114285714285715,44.3,,
2015,46,Ang Mo Kio,58.0,58.0,58.0,29.6,0.0,7.8,12.2,13.0,15.8,27.57142857142857,33.2,24.0,4.357142857142857,30.2,,
2015,47,Ang Mo Kio,54.0,54.0,54.0,65.4,0.0,16.45714285714286,54.2,63.4,64.2,27.357142857142854,32.5,23.2,4.485714285714286,33.5,,
2015,48,Ang Mo Kio,38.0,38.0,38.0,27.6,0.0,12.285714285714285,20.8,21.4,23.4,27.485714285714288,34.5,24.1,4.542857142857144,33.5,,
2015,49,Ang Mo Kio,69.0,61.0,53.0,88.6,0.0,22.02857142857143,43.2,67.8,84.6,27.157142857142855,32.7,23.4,4.471428571428572,58.0,,
2015,50,Ang Mo Kio,,,,32.4,0.0,13.37142857142857,22.6,31.2,31.2,27.185714285714283,33.0,23.7,4.728571428571429,39.2,,
2015,51,Ang Mo Kio,56.0,56.0,56.0,4.0,0.0,1.3142857142857145,3.4,3.4,3.4,27.3,32.5,24.1,5.671428571428572,45.4,,
2015,52,Ang Mo Kio,87.0,87.0,87.0,36.6,0.0,5.542857142857144,25.0,28.0,34.6,28.014285714285712,33.8,23.5,5.7285714285714295,43.6,,
2015,53,Ang Mo Kio,119.0,93.0,67.0,16.4,0.2,8.45,6.4,8.2,10.0,27.075,32.3,23.5,7.375,41.4,,
2016,1,Ang Mo Kio,113.0,100.0,87.0,17.2,0.0,2.72,7.2,12.2,15.2,27.570000000000004,33.2,22.9,6.8,47.5,,
2016,2,Ang Mo Kio,139.0,124.0,109.0,40.8,0.0,10.37142857142857,24.2,37.8,40.4,27.842857142857145,32.7,23.2,5.671428571428572,48.2,,
2016,3,Ang Mo Kio,178.0,160.0,142.0,11.8,0.6,4.314285714285714,5.4,5.4,6.2,27.885714285714283,34.0,25.2,6.228571428571428,46.4,,
2016,4,Ang Mo Kio,187.0,184.0,181.0,3.6,0.0,0.942857142857143,1.6,1.6,1.6,27.942857142857147,32.9,25.4,7.142857142857142,47.9,,
2016,5,Ang Mo Kio,174.0,173.5,173.0,23.2,0.0,8.914285714285715,11.8,13.0,14.4,27.657142857142862,32.8,24.0,7.1571428571428575,43.2,47.0,47.0
