Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tuas South,2014,6,19,2.4,1.6,1.8,2.2,29.7,32.5,25.9,7.6,46.8
Tuas South,2014,6,20,0.0,0.0,0.0,0.0,30.4,33.3,28.6,6.4,23.8
Tuas South,2014,6,21,0.0,0.0,0.0,0.0,30.7,33.2,28.6,5.8,23.8
Tuas South,2014,6,22,0.0,0.0,0.0,0.0,30.3,32.4,28.8,8.4,25.9
Tuas South,2014,6,23,0.0,0.0,0.0,0.0,30.0,32.6,28.3,6.3,18.4
Tuas South,2014,6,24,1.4,1.2,1.2,1.2,30.0,32.3,27.9,6.5,26.6
Tuas South,2014,6,25,25.2,21.0,23.6,25.0,28.6,30.9,24.1,7.1,34.9
Tuas South,2014,6,26,1.8,1.8,1.8,1.8,29.6,32.7,28.1,6.6,24.8
Tuas South,2014,6,27,11.4,9.2,9.4,9.4,27.5,29.6,24.4,10.4,53.3
Tuas South,2014,6,28,0.0,0.0,0.0,0.0,28.9,31.0,27.2,6.9,21.2
Tuas South,2014,6,29,7.6,7.4,7.6,7.6,28.8,30.7,25.8,4.7,25.2
Tuas South,2014,6,30,31.0,24.4,29.8,30.8,27.5,29.4,23.6,8.2,38.9
Tuas South,2014,7,1,0.0,0.0,0.0,0.0,29.0,31.9,27.0,5.1,23.8
Tuas South,2014,7,2,0.0,0.0,0.0,0.0,29.1,31.5,26.6,5.5,27.0
Tuas South,2014,7,3,0.6,0.6,0.6,0.6,28.7,31.4,25.6,5.2,29.2
Tuas South,2014,7,4,0.0,0.0,0.0,0.0,29.4,31.5,28.1,6.8,21.6
Tuas South,2014,7,5,35.0,20.4,31.8,34.8,27.8,29.6,23.7,6.8,69.1
Tuas South,2014,7,6,0.0,0.0,0.0,0.0,29.0,31.0,27.6,6.9,31.7
Tuas South,2014,7,7,21.6,16.2,19.0,19.2,28.5,31.4,24.0,6.6,52.2
Tuas South,2014,7,8,11.2,8.8,10.2,10.6,28.3,30.4,23.8,7.5,45.0
Tuas South,2014,7,9,1.2,0.4,0.6,0.8,28.3,30.4,25.5,8.1,43.9
Tuas South,2014,7,10,0.4,0.2,0.4,0.4,29.4,32.6,27.5,4.4,23.0
Tuas South,2014,7,11,0.0,0.0,0.0,0.0,28.7,31.7,26.0,6.0,23.0
Tuas South,2014,7,12,4.2,3.8,4.0,4.0,27.8,29.5,24.6,9.3,43.2
Tuas South,2014,7,13,0.0,0.0,0.0,0.0,29.2,32.2,26.6,9.1,22.7
Tuas South,2014,7,14,0.0,0.0,0.0,0.0,30.1,32.7,28.3,6.3,21.6
Tuas South,2014,7,15,0.0,0.0,0.0,0.0,29.9,32.2,28.4,5.0,19.8
Tuas South,2014,7,16,0.0,0.0,0.0,0.0,30.0,33.2,28.0,5.3,22.0
Tuas South,2014,7,17,22.4,22.0,22.2,22.2,28.2,30.0,22.3,5.8,56.5
Tuas South,2014,7,18,0.0,0.0,0.0,0.0,29.5,31.8,27.9,6.4,28.1
Tuas South,2014,7,19,0.0,0.0,0.0,0.0,29.1,31.7,28.0,6.1,38.2
