Station,Year,Month,Week,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2014,6,26,29,3,3,3,3,29.4,31.9,25.1,3.8,27.4
Marina Barrage,2014,6,27,30,7.4,3.4,6.2,7,27.5,30.6,24.2,5,34.2
Marina Barrage,2014,7,27,1,0,0,0,0,29.2,33.4,26.7,3.9,23.8
Marina Barrage,2014,7,27,2,0,0,0,0,29.6,32.2,27.6,4.6,20.5
Marina Barrage,2014,7,27,3,5.8,4.6,4.6,5.8,28.9,31.5,25.1,4,21.2
Marina Barrage,2014,7,27,4,0.8,0.8,0.8,0.8,28.8,31.3,26.9,4.2,27.7
Marina Barrage,2014,7,27,5,7.2,7,7.2,7.2,28.4,31.1,23.8,5,45.4
Marina Barrage,2014,7,27,6,0.8,0.8,0.8,0.8,29.3,32.9,27.3,4.4,26.3
Marina Barrage,2014,7,28,7,6.8,6.6,6.8,6.8,29,31.8,23.9,4.8,35.6
Marina Barrage,2014,7,28,8,15.8,12,14.4,15.4,28.1,30.8,23.7,5.1,41.8
Marina Barrage,2014,7,28,9,22.2,19.8,20.6,21,27.8,28.9,22.9,5.3,38.9
Marina Barrage,2014,7,28,10,0,0,0,0,29.6,33.6,27.8,5.5,24.1
Marina Barrage,2014,7,28,11,1.2,0.6,0.6,0.6,29,32,26.7,4.3,25.6
Marina Barrage,2014,7,28,12,0,0,0,0,28.2,31.1,25.5,4.8,27.4
Marina Barrage,2014,7,28,13,0,0,0,0,29.4,32.6,27,5.6,19.4
Marina Barrage,2014,7,29,14,0,0,0,0,30.4,33.2,28.4,5.1,16.9
Marina Barrage,2014,7,29,15,0,0,0,0,30.3,33.6,28.8,5.4,17.6
Marina Barrage,2014,7,29,16,0,0,0,0,30.2,33.9,28.1,4.8,19.1
Marina Barrage,2014,7,29,17,15.6,15.2,15.6,15.6,28.4,30.4,23,5.3,40.3
Marina Barrage,2014,7,29,18,0,0,0,0,29.6,32.9,27.7,4.9,19.8
Marina Barrage,2014,7,29,19,0.8,0.6,0.8,0.8,29.4,32.6,27.2,4.5,28.1
Marina Barrage,2014,7,29,20,0,0,0,0,30.1,33.6,28,5,19.4
Marina Barrage,2014,7,30,21,0,0,0,0,30.2,33.3,28.2,5.7,23.8
Marina Barrage,2014,7,30,22,0,0,0,0,30.1,32.9,28.4,6.3,23.4
Marina Barrage,2014,7,30,23,0,0,0,0,30.3,33,28.5,5.4,21.2
Marina Barrage,2014,7,30,24,0,0,0,0,30.2,33.4,28.3,5.4,18.7
Marina Barrage,2014,7,30,25,0,0,0,0,30.5,34.6,28.2,5.5,18
Marina Barrage,2014,7,30,26,0,0,0,0,30.6,34.1,28.6,6.1,19.8
Marina Barrage,2014,7,30,27,20.6,14.4,20,20.4,29,32.6,23.5,5.9,100.1
Marina Barrage,2014,7,31,28,0,0,0,0,29.8,32.9,28.4,5,25.2
Marina Barrage,2014,7,31,29,72,35.6,63.4,72,28.6,32.8,23.9,5.5,30.2
Marina Barrage,2014,7,31,30,34.6,30.4,34,34.6,28.1,31.9,23.7,4.5,39.2
Marina Barrage,2014,7,31,31,0.4,0.4,0.4,0.4,28,29.6,25,5.4,26.6
Marina Barrage,2014,8,31,1,0,0,0,0,29.2,32.4,27.3,5.3,18.7
Marina Barrage,2014,8,31,2,11.8,11.8,11.8,11.8,29.2,32.4,25.4,5.4,27.4
Marina Barrage,2014,8,31,3,0,0,0,0,29.2,31.9,26.9,4.9,24.1
Marina Barrage,2014,8,32,4,0.6,0.6,0.6,0.6,29.2,32.2,27.1,5.2,24.1
Marina Barrage,2014,8,32,5,2.8,2.2,2.2,2.4,26.9,29.1,23.9,6.3,50.8
Marina Barrage,2014,8,32,6,10.4,10,10.4,10.4,27.9,30.6,24,4.6,29.5
Marina Barrage,2014,8,32,7,0.6,0.6,0.6,0.6,28,31.4,25.8,5.1,24.5
Marina Barrage,2014,8,32,8,0,0,0,0,28.2,30.7,26.8,5,23
Marina Barrage,2014,8,32,9,0,0,0,0,29.5,33.7,27.3,6.3,25.2
Marina Barrage,2014,8,32,10,0,0,0,0,28.8,32.9,27.5,5.2,25.6
Marina Barrage,2014,8,33,11,0,0,0,0,28.5,31.7,26.9,4.7,20.9
Marina Barrage,2014,8,33,12,0,0,0,0,27.6,29.4,26.6,4.7,28.8
Marina Barrage,2014,8,33,13,1.8,1.4,1.8,1.8,26.7,27.9,25.4,3.9,19.1
Marina Barrage,2014,8,33,14,10.2,5.8,7.8,10,27.3,30.2,25.2,5.1,27.4
Marina Barrage,2014,8,33,15,21.8,17.2,21.6,21.6,27,29.2,23.4,3.8,33.8
Marina Barrage,2014,8,33,16,0,0,0,0,29,32.3,27.1,5.1,18.7
Marina Barrage,2014,8,33,17,0,0,0,0,29.3,32.7,27.8,5.2,20.2
Marina Barrage,2014,8,34,18,3.8,1.8,2.6,2.8,29,33,26.9,5.5,27.4
Marina Barrage,2014,8,34,19,16.8,15,16.2,16.2,28.5,32.4,24.3,4.7,25.9
Marina Barrage,2014,8,34,20,1.8,1,1.2,1.6,28.2,32.7,26.6,4.1,25.2
Marina Barrage,2014,8,34,21,19,17.4,19,19,28.5,32.7,24.8,4.2,29.2
Marina Barrage,2014,8,34,22,3.8,3.8,3.8,3.8,28.9,32.6,26.4,6.8,34.2
Marina Barrage,2014,8,34,23,0,0,0,0,29,32,27.3,5.4,22.3
Marina Barrage,2014,8,34,24,1.8,1.6,1.8,1.8,28,30.5,26.7,3.2,19.4
Marina Barrage,2014,8,35,25,10,7.4,8.6,9.8,27.5,31.8,23.4,3.2,23
Marina Barrage,2014,8,35,26,6.2,5.6,6,6.2,27.3,30.8,22.9,4,29.5
Marina Barrage,2014,8,35,27,27.8,9.4,17.6,24,27.2,30.7,22.9,4.8,30.2
Marina Barrage,2014,8,35,28,4.6,1.2,1.6,2.6,26.7,30.2,23.4,4.7,36.4
Marina Barrage,2014,8,35,29,0.2,0.2,0.2,0.2,27.3,30.8,24.6,4.3,32
Marina Barrage,2014,8,35,30,0,0,0,0,28.3,32.8,25.5,4.6,17.6
Marina Barrage,2014,8,35,31,0,0,0,0,28.9,31.4,27.3,6.1,25.2
Marina Barrage,2014,9,36,1,0,0,0,0,29.8,34.1,27.5,6.6,20.9
Marina Barrage,2014,9,36,2,0,0,0,0,29.2,32.5,27.2,5.4,25.9
Marina Barrage,2014,9,36,3,59.4,42.2,56,59.4,27.2,32.5,22.4,3.3,33.8
Marina Barrage,2014,9,36,4,0,0,0,0,28.7,32.4,25.2,3.7,17.3
Marina Barrage,2014,9,36,5,1.8,1.6,1.8,1.8,28.2,31.3,24.3,5.2,37.1
Marina Barrage,2014,9,36,6,5.4,5.4,5.4,5.4,27.8,29.9,25.3,8.4,41.4
Marina Barrage,2014,9,36,7,0.2,0.2,0.2,0.2,28.8,32.6,26.4,3.4,16.9
Marina Barrage,2014,9,37,8,0,0,0,0,29.6,32.9,26.6,4.2,18
Marina Barrage,2014,9,37,9,0,0,0,0,29,33.7,27.8,5.5,23
Marina Barrage,2014,9,37,10,0,0,0,0,29.4,32.2,27.8,6,23
Marina Barrage,2014,9,37,11,63.4,28.6,35,40.8,27.8,32.4,23.4,6.2,43.6
Marina Barrage,2014,9,37,12,0,0,0,0,29,32.5,25.6,5.5,24.8
Marina Barrage,2014,9,37,13,0,0,0,0,29.4,32.5,27.7,6.3,25.2
Marina Barrage,2014,9,37,14,0,0,0,0,29.4,32,28,5.8,23.4
Marina Barrage,2014,9,38,15,0,0,0,0,29.6,32.5,27.8,6.6,25.9
Marina Barrage,2014,9,38,16,0,0,0,0,29.7,33.4,27.8,7,22.3
Marina Barrage,2014,9,38,17,6.8,6.8,6.8,6.8,29.2,33.2,25.2,6.2,27
Marina Barrage,2014,9,38,18,0,0,0,0,29.4,33.2,27.7,5.7,30.6
Marina Barrage,2014,9,38,19,2.6,2.6,2.6,2.6,29.6,32.9,27.7,7,27.7
Marina Barrage,2014,9,38,20,45.8,17.8,20.6,23.6,27.7,32.8,23.5,5.1,32
Marina Barrage,2014,9,38,21,3.4,1.6,2.6,3,28.1,31.7,24.8,5,24.8
Marina Barrage,2014,9,39,22,0,0,0,0,29.6,34.7,26.8,5.6,20.9
Marina Barrage,2014,9,39,23,0,0,0,0,29.8,33.9,27.4,5.5,18.4
Marina Barrage,2014,9,39,24,5.2,4.6,5,5,29.3,33.4,25.5,6,35.6
Marina Barrage,2014,9,39,25,9.2,3.2,4.8,5.2,26.9,30,23.9,4.9,36.4
Marina Barrage,2014,9,39,26,0,0,0,0,29.3,33.2,26.4,4.4,20.9
Marina Barrage,2014,9,39,27,0,0,0,0,29.7,34,27.8,5.8,24.1
Marina Barrage,2014,9,39,28,0,0,0,0,29.7,33.2,27.6,4.9,14.8
Marina Barrage,2014,9,40,29,0,0,0,0,29.8,33.7,27.6,4.8,19.4
Marina Barrage,2014,9,40,30,0,0,0,0,29.9,34,27.7,4.3,18.4
Marina Barrage,2014,10,40,1,0,0,0,0,29.8,34.3,27.9,4.6,21.6
Marina Barrage,2014,10,40,2,0,0,0,0,29.6,32.9,27.6,4.2,17.3
Marina Barrage,2014,10,40,3,0,0,0,0,29.9,34.2,27.5,4.9,18
Marina Barrage,2014,10,40,4,38.6,32.2,38.4,38.6,27.8,30.7,23.4,5.6,74.9
