Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks
2015,25,Khatib,12,12.0,12
2015,25,Tuas South,6,6.0,6
2015,25,Marina Barrage,5,5.0,5
2015,26,Changi,19,14.0,9
2015,26,Ang Mo Kio,56,50.5,45
2015,26,Khatib,28,22.5,17
2015,26,Tuas South,3,1.5,0
2015,26,Marina Barrage,16,12.5,9
2015,27,Changi,21,19.0,17
2015,27,Ang Mo Kio,67,61.5,56
2015,27,Khatib,28,27.0,26
2015,27,Tuas South,7,5.0,3
2015,27,Marina Barrage,13,12.5,12
2015,28,Changi,17,15.0,13
2015,28,Ang Mo Kio,65,58.0,51
2015,28,Khatib,38,28.5,19
2015,28,Tuas South,6,5.0,4
2015,28,Marina Barrage,13,10.5,8
2015,29,Changi,25,18.5,12
2015,29,Ang Mo Kio,58,55.5,53
2015,29,Khatib,48,40.5,33
2015,29,Tuas South,2,1.0,0
2015,29,Marina Barrage,9,7.0,5
2015,30,Changi,19,18.5,18
2015,30,Ang Mo Kio,72,54.0,36
2015,30,Khatib,39,35.0,31
2015,30,Tuas South,1,0.5,0
2015,30,Marina Barrage,15,11.5,8
2015,31,Changi,28,28.0,28
2015,31,Ang Mo Kio,83,83.0,83
2015,31,Khatib,28,28.0,28
2015,31,Tuas South,7,7.0,7
2015,31,Marina Barrage,7,7.0,7
2015,32,Changi,23,23.0,23
2015,32,Ang Mo Kio,63,63.0,63
2015,32,Khatib,14,14.0,14
2015,32,Tuas South,3,3.0,3
2015,32,Marina Barrage,5,5.0,5
2015,33,Changi,18,18.0,18
2015,33,Ang Mo Kio,26,26.0,26
2015,33,Khatib,17,17.0,17
2015,33,Tuas South,5,5.0,5
2015,33,Marina Barrage,8,8.0,8
2015,34,Changi,9,9.0,9
2015,34,Ang Mo Kio,19,19.0,19
2015,34,Khatib,15,15.0,15
2015,34,Tuas South,3,3.0,3
2015,34,Marina Barrage,23,23.0,23
2015,35,Changi,8,8.0,8
2015,35,Ang Mo Kio,40,40.0,40
2015,35,Khatib,27,27.0,27
2015,35,Tuas South,3,3.0,3
2015,35,Marina Barrage,26,26.0,26
2015,36,Changi,32,25.5,19
2015,36,Ang Mo Kio,56,41.5,27
2015,36,Khatib,28,25.0,22
2015,36,Tuas South,4,4.0,4
2015,36,Marina Barrage,22,19.5,17
2015,37,Changi,32,32.0,32
2015,37,Ang Mo Kio,59,59.0,59
2015,37,Khatib,36,36.0,36
2015,37,Tuas South,3,3.0,3
2015,37,Marina Barrage,7,7.0,7
2015,38,Changi,18,18.0,18
2015,38,Ang Mo Kio,41,41.0,41
2015,38,Khatib,30,30.0,30
2015,38,Tuas South,2,2.0,2
2015,38,Marina Barrage,4,4.0,4
2015,40,Changi,52,39.0,26
2015,40,Ang Mo Kio,57,55.0,53
2015,40,Khatib,24,22.5,21
2015,40,Tuas South,4,4.0,4
2015,40,Marina Barrage,20,17.5,15
