date,locality,cases with onset in last 2 weeks
160111,"Joo Ave / Kent Rd (Blk 52, 53) / Mergui Rd / Owen Rd / Oxford Rd (Kentish Court, Kentish Lodge, Oxford Suites) / Perumal Rd / Race Course Rd (Blk 681, 682, 684) / Rangoon Rd (Blk 677) / Rangoon Rd (R66 Apts, Suites 123) / Rangoon Ln, Rd / S'goon Rd / Sing Ave / Sing Ave (Bliss Regalia) / Sing Joo Walk / Starlight Rd / Tessensohn Rd (Blk 683)",11
160111,"Pasir Ris St 11 (Blk 110, 111, 112, 113, 116, 117, 119, 120, 121, 122, 124, 125, 126, 127, 128, 129, 132, 133, 134) / Pasir Ris St 12 (Blk 101, 102, 108, 199) / Pasir Ris St 21 (Blk 213, 216) / Pasir Ris St 51 (Blk 551, 558)",11
160111,"Ee Teow Leng Rd / Flower Rd / Hendry Cl / Highland Cl, Rd, Walk / Hillside Dr / Jansen Rd / Jansen Rd (Jansen 28, Jansen Mansions) / Jln Sahabat / Kovan Rd / Kovan Rd (Kovana, Kovan Lodge, Kovan Melody) / Lange Rd / Palm Gr Ave (Palm Gr Condo) / Palm Gr Ave / Upp S'goon Rd (Grand Regalia) / Upp S'goon Rd",12
160111,"How Sun Dr (Sun Rosier) / How Sun Rd (Townhouse Condo) / How Sun Dr, Walk / Jln Kesoma / Jln Rindu / Lor How Sun / Lor Ong Lye (Casa Rosa) / Lor Ong Lye / S'goon Ln / Upp Paya Lebar Rd (Fragrant Gdns)",2
160111,"Golden Rise / Jln Pacheli / Li Hwan Cl, Dr, Pl, Ter, View / Tai Hwan Ln",4
160111,"Geylang Rd / Guillemard Rd / Lor 4 Geylang (Wang Lodge) / Lor 7 Geylang (Centra Residence) / Lor 9 Geylang (Kim Court) / Lor 4, 6, 7, 8, 9, 11, 13, 15 Geylang / Sims Ave",10
160111,"Yishun St 81 (Blk 816, 821, 822, 825, 829, 830, 833, 834, 835, 836, 838, 876, 880) / Yishun St 81 (Orchid Pk Condo)",10
160111,"Bangkit Rd (Blk 250, 251, 252, 253, 257, 259A, 270, 273) / Bangkit Rd (Chestervale)",9
160111,"Joon Hiang Rd / Recreation Ln, Rd / S'goon Ctrl (Blk 201, 202, 203, 204, 205, 206, 208, 210)",2
160111,"Lucky Hts, View / Sennett Cl / Upp East Coast Rd (The Summit, The Baycourt)",9
160111,"Jln Rabu / Shunfu Rd (Blk 309, 310, 311, 313, 315, 316, 317) / Upp Thomson Rd (Thomson Imperial Ct)",3
160111,"S'goon Nth Ave 1 (Blk 107, 113, 114, 115, 117, 153)",7
160111,Beatty Rd / S'goon Rd / Sturdee Rd / Sturdee Rd (Kerrisdale) / Sturdee Rd Nth (Sturdee View),2
160111,"Cambridge Rd (Blk 41) / Dorset Rd (Blk 48, 49, 50) / Farrer Pk Rd (Blk 12, 13, 15) / Gloucester Rd (Blk 9) / Owen Rd (Blk 47) / Race Course Rd (Soho 188)",4
160111,Changi Rd / Changi Rd (Mera East) / Jln Masjid (Bliss Residences) / Jln Wakaff (Radix) / Joo Chiat Ave / Lor G Telok Kurau / Lor H Telok Kurau / Lor Mydin / Sims View,7
160111,"Lor Lew Lian (Blk 2, 7) / S'goon Ave 1 (Blk 401, 425) / S'goon Ctrl (Blk 410, 414, 415, 417, 421, 424)",2
160111,"McNair Rd (Blk 108B, 120) / McNair Rd / Towner Rd",5
160111,"Woodlands Ind Pk E3, E5, E7, E9",1
160111,"Chiltern Dr / S'goon Ave 3 (Blk 133) / S'goon Ave 3 (Amaranda Gdns, Chiltern Pk Condo, The Scala, The Springbloom)",4
160111,"New Upp Changi Rd (Blk 52, 53, 54, 55)",4
160111,"Cheviot Hill / Fedelio St / Siglap Ave South / Siglap Bank, Walk / Siglap Rd (Flamingo Valley)",5
160111,"Woodlands Ring Rd (Blk 646, 658, 660, 663, 664)",4
160111,Geylang Rd (Le Regal) / Lor 12 Geylang / Lor 12 Geylang (Paddy Green) / Lor 14 Geylang / Lor 14 Geylang (Wing Fong Mans) / Lor 16 Geylang / Lor 16 Geylang (Canberlin Apts),2
160111,Kitchener Lk (City Sq Residences) / Kitchener Rd,3
160111,"Bendemeer Rd (Blk 38D, 43, 44, 47) / Whampoa South (Blk 49)",1
160111,"Corporation Rise, Walk / Kang Ching Rd (Blk 348)",1
160111,Bournemouth Rd,3
160111,Geylang Rd / Lor 24A Geylang / Lor 26 Geylang (Guilin Ct) / (Lor 27 Geylang (The Alcove) / Lor 27A Geylang (Sims Green),3
160111,Jln Batai / Jln Chempedak / Jln Leban / Jln Menarong,3
160111,Lor 3 Geylang / Upp Boon Keng Rd (Blk 39),1
160111,Mei Hwan Dr (Goldenhill Pk Condo) / Mei Hwan Dr,2
160111,"Tampines St 82 (Blk 832, 838, 842, 854)",3
160111,"Tampines St 83 (Blk 884) / Tampines St 84 (Blk 875, 883)",6
160111,"Yishun Ring Rd (Blk 855) / Yishun St 81 (Blk 852, 875)",4
160111,Changi Rd / Jln Eunos / Kampong Eunos (Eunos Pk) / Sims Ave East (Eunos Green),2
160111,"Cheow Keng Rd / Tembeling Rd (Tembeling Residence, The Beacon Edge)",5
160111,"Hougang Ave 1 (Blk 101, 108)",2
160111,Lor 1 Toa Payoh (Blk 126) / Lor 1A Toa Payoh (Blk 138A) / Lor 2 Toa Payoh (Blk 121) / Lor 3 Toa Payoh (Trevista),2
160111,"Rowell Rd (Blk 639, 640, 642) / Syed Alwi Rd / Veerasamy Rd (Blk 635)",4
160111,"Bedok Nth Ave 2 (Blk 409, 410, 412)",4
160111,"Bedok South Ave 3 (Blk 156, 158) / Bedok South Rd (Bedok CT) / Bedok South Rd (Blk 165)",2
160111,Boundary Rd / Lim Tua Tow Rd (Casa Cambio),2
160111,Bowmont Gdns / Jedburgh Gdns,1
160111,Brockhampton Dr / Burghley Dr,3
160111,Chuan Cl,1
160111,French Rd (Blk 808) / King Georges Ave (Blk 7) / Kitchener Rd (Blk 2),4
160111,"Geylang Bahru (Blk 55, 58)",1
160111,Goodman Rd,4
160111,"Joo Chiat Ter (Celestia, One Eighties Residences) / Joo Chiat Pl (Flora East) / Joo Chiat Pl",2
160111,Jurong East St 13 (Blk 109),2
160111,Marine Vista (Neptune CT),4
160111,"Tampines St 45 (Blk 487C, 488B, 498A)",3
160111,"Woodlands Circle (Blk 721, 726, 733, 735)",1
160111,"Woodlands St 81 (Blk 824, 825)",3
160111,"Ang Mio Kio Ave 10 (Blk 416, 441, 443)",2
160111,"Bedok South Ave 2 (Blk 8, 9) / New Upp Changi Rd (Blk 30)",2
160111,"Bendemeer Rd (Blk 27, 30) / Towner Rd (Blk 101)",1
160111,"Buangkok Cres (Blk 980C, 985A, 985B)",2
160111,Cardiff Gr / Chiselhurst Gr / Crichton Cl,1
160111,"Choa Chu Kang Ave 2 (Blk 250, 252, 277)",3
160111,"Choa Chu Kang Cres (Blk 660, 690D, 692B)",1
160111,"Choa Chu Kang St 51 (Blk 505, 506, 509)",2
160111,"Hougang Ave 8 (630, 631, 637)",2
160111,"Jelapang Rd (Blk 518, 522, 525)",2
160111,Joo Chiat Pl (Joo Chiat Verbena) / Lor H Telok Kurau,1
160111,"Jurong West St 52 (Blk 528, 531)",1
160111,Lakepoint Dr (Lakepoint Condo),1
160111,"Lengkok Bahru (Blk 47, 53, 55)",1
160111,"Lor 3 Geylang / Lor 3 Geylang (Blk 113, 114)",1
160111,Lor Limau (Blk 76) / Lor Limau (Parc Haven),3
160111,Marina Boulevard (The Sail @ Marina Bay),3
160111,Marymount Ter (Boonview),3
160111,Nth Canal Rd / South Bridge Rd,2
160111,Pasir Ris St 72 (Blk 724) / Pasir Ris St 72 (Whitewater),3
160111,Tampines St 12 (Blk 163) / Tampines St 21 (Blk 270),3
160111,"Westwood Ave, Dr, Walk",3
160111,Wilkinson Rd,3
160111,"Woodlands Dr 62 (Blk 682A, 683D)",3
160111,"Bedok Nth Rd (Blk 427, 428)",2
160111,"Bedok Reservoir View (Aquarius By The Bay, The Clearwater)",1
160111,"Boon Lay Dr (Blk 172, 259)",2
160111,"Bt Batok St 34 (Blk 338, 341)",1
160111,"Canberra Dr (Eight Courtyards, Yishun Sapphire)",2
160111,"Chai Chee Dr (Blk 55, 58)",1
160111,Circuit Rd (Blk 87) / Paya Lebar Way (Blk 91),1
160111,Dunbar Walk / Lor N Telok Kurau (Treescape),2
160111,Eastwood Dr / Jln Greja,2
160111,Gilstead Rd,1
160111,Hougang St 51 (Blk 572) / Hougang St 61 (Blk 693),1
160111,Jln Hock Chye,2
160111,Jln Keli / Jln Sembilang,1
160111,"Jln Raja Udang (The Arte, Global Ville)",2
160111,"Jurong West St 42 (Blk 402, 404)",2
160111,"Jurong West St 65 (Blk 611, 663A)",2
160111,"Marsiling Ln (Blk 15, 16)",2
160111,Marsiling Rd (Blk 134) / Marsiling Rise (Blk 133),2
160111,"Mei Ling St (Blk 156, 160)",2
160111,"Paya Lebar Way (Blk 121, 124)",2
