unique location,X,Y
Yishun Avenue 4 ,28781.169960904903,44074.7220382262
"Jalan Gelenggang, Tarum ",,
Jurong WeStreet Street 41 ,,
EaStreetwood Terminal,,
"Goldhill Avenue, Drive",,
Hougang Avenue 9 ,,
Jalan Tanjong ,,
Lorong 7 Toa Payoh ,30239.6090564914,35732.9267157279
Lorong 33 Getlang ,,
ALanewick Road ,,
Woodgrove Avenue ,22519.1200350253,45711.9711545054
Jalan Jarak ,32742.5009562802,40409.0906894952
"Lorong 24A, 26,28 Geylang",,
Woodlands Avenue 6 ,,
Jalan Manis ,,
Lorong 39 Geylang,,
Bt Batok Ctrl ,,
Joo Chiat Pl ,,
Parry View,,
Tampines Street 44 ,41469.579229326,37879.426455427005
Kasai Road,,
Tampines Street 86 ,38954.542936697595,37574.949244845695
Aroozoo Lane ,33483.9638883527,37339.8940460905
ChilTerminaLane Drive ,,
Tampines Street 72 ,39332.3635882726,37876.633507497594
Bt Batok Street 11,,
River Valley Road ,,
Jalan Hock Chye ,34214.5860091094,37931.9534841031
Gangsa Road ,20668.4593563033,40126.6000212133
"Brighton Avenue, Cres ",,
Rivervale Lk ,,
Dickson Road ,,
Tampines Avenue 4 ,39651.4520929018,36591.4494100884
Sims Avenue ,,
"Casuarina Road, Walk",,
Yishun Avenue 4 ,,
Bedok InduStreetrial Park E,,
Yishun Avenue 2 ,,
Boon Lay Drive,14207.773002624499,36487.3164377511
Marine Drive ,,
Merpati Road ,,
Upp Boon KengRoad ,,
Tampines Street 32 ,,
Simei Street 2 ,41549.5795382457,36443.2591173518
Choa Chu Kang North 6 ,18006.5207644496,41974.0672460441
Serangoon Ctrl Drive ,,
Chuan View ,,
Marine Cres  ,,
"Kew Avenue, Cres",,
Hoy Fatt Road ,,
"Eng KongCres, Gdn",,
Lorong How Sun ,,
Punggol Drive,36385.0907721389,42940.2917501666
"WeStreet CoaStreet Avenue, Terminal",,
Bt Batok Street 31 ,,
Keppel Bay View ,,
Clive Street ,30095.2110999702,31944.3877091836
Woodlands Drive 70 ,,
Jalan PutehJerneh ,,
Brighton Avenue ,,
Kaki Bt Pl ,,
Kang Choo BinRoad ,,
Punggol Field Walk ,,
Boundary Cl ,,
Pasir Ris Street 11 ,,
Choa Chu Kang Street 52 ,,
Leedon Hts,,
Lentor Loop ,,
Sungei Kadut Street 1,,
Grace Walk ,,
"Yunnan Cres, Drive 2, 3",,
Pasir Ris Drive 6 ,,
Jalan Lakum ,32271.3668652913,40808.577194081605
Farrer Road ,25595.5793600511,33542.2408048231
Ang Mo Kio Avenue 3 ,,
Jalan Molek ,33557.2401344217,32624.1737827118
Yishun Street 61 ,,
Jalan Angin Laut ,,
Lorong 1 Toa Payoh ,,
Jalan Rumah Tinggi ,,
Jalan Besar ,30992.9114920031,32425.8124303482
FLoronga Drive ,,
"Lorong 27, 27A Geylang",,
Tampines Street 73 ,38913.8436977519,37818.3648239188
Sgn Avenue 4 ,,
Jalan Tenaga ,,
Lorong 16 Geylang ,33217.022518934704,32731.006326248906
Yishun Street 81 ,28005.5299047502,43731.9742311761
Chempaka Avenue ,32667.729925835498,34825.8161891662
Bedok Ria Cres ,,
McNair Road ,,
Joon Hiang Road ,,
Jalan Chegar ,,
Kim Keat Road ,,
Metropole Driveive,,
Yung Ping Road ,,
"Lorong 24A, 26, 28, 32 Geylang",,
SunbiRoad Circle ,,
Lorong 27A Geylang ,,
Golden Walk ,,
Faber Drive,19575.413271660902,33368.5064223204
Jalan MeRoadu,,
Lorong Marican ,,
Charlton Lane,,
Bishan Street 11 ,,
"Bedok Lane, Road",,
Hougang Avenue 4 ,33924.3504296904,40034.935642087796
Brighton Avenue ,32451.435459015,37963.6466661002
Lakeside Drive ,15278.652087247,36128.3689939398
Kaki Bukit Avenue 1 ,,
Kim Chuan Drive,,
Bedok Ria Terminal,,
Phillips Avenue ,32694.273161744703,38434.4692087341
Yishun Street 61,28332.3793625487,44923.5574643966
Woodlands Drive 14 ,,
Eunos Cres ,,
Hougang Avenue 2 ,34303.6149851605,38684.7539553717
Dunbar Walk ,,
Jalan Membina,,
Yung Ho Road ,,
Lompang Road ,,
Poh Huat Drive ,33381.5226541618,38677.8366617132
Serangoon Avenue 4 ,,
Serangoon Road ,,
Daisy Avenue ,,
Bedok South Avenue 1 ,,
Surin Road ,,
Yunnan Cres,12323.963221618898,35432.6787294392
CheStreetnut Avenue ,,
Dix Road ,32697.3648849409,38026.6230805274
Hougang Street 21 ,,
Woodlands Drive 16 ,,
Lucky Gardens ,,
Lorong 24A Geylang ,,
Braddell Road ,,
Pasir Ris Street 51 ,40667.1425337018,39005.910247577405
Compassvale Road ,,
Jalan Sempadan,38493.653165870295,32748.8088040873
Medway Drive ,,
Woodlands Drive 14 ,,
Pasir Ris Street 21 ,42328.7808345603,38775.8109468687
Telok Blangah Hts ,,
Bournemouth Road ,,
Tampines Street 33 ,,
Bowmont Gardens ,,
Joo Seng Road ,,
Senja Cl ,,
Kim Keat Lk ,,
"Jalan Pari Burong, Dedap",,
Canberra Road ,,
Jalan Anggerek,,
Holland Road ,,
Avenue 2 ,,
"Daisy Avenue, Road ",,
Huddington Avenue ,31651.7710988242,38705.6623823605
Upp Changi Road,,
Clementi Avenue 4 ,,
Balmeg Hill ,,
"JalanGelenggang,Tarum ",,
Lorong 24AGeylang ,,
Dunman Road,34680.7427723194,32435.3665194083
Kim Tian Road ,27381.709363383197,29361.7132483497
Bedok North Avenue2 ,,
"Pasir Ris Lk, Rise",,
 Neram Cres,31839.658608906,40810.9909447115
Jurong WeStreet Street 64,,
Poh Huat Terminal,,
Cotswold Cl,31110.99461482,36648.1025400367
Punggol Walk ,,
Woodleigh Park,,
"VeRoade Avenue, Pl",,
Lorong 39 Geylang ,34364.3568051523,33066.687103925295
Lorong 13 Geylang ,,
"Corporation Rise, Walk",,
Plantation Avenue,,
Sembawang Cres ,,
Tanah Merah Kechil Road South ,,
Thiam Siew Avenue,,
Venus Road,27407.2332644043,37801.6456977539
"Lorong 4, 6, 7 Realty Park",,
Lorong 37 Geylang ,34244.6723546563,33063.4636847302
Admiralty Drive ,,
Sin Ming Avenue,27985.169933626406,38284.4509113878
Macpherson Road,,
"Sunrise Avenue, Cl, Drive, Lane, Terminal, Way ",,
Brookvale Drive,,
Jalan Lekub ,,
Lorong 32 Geylang ,,
HAvenuelock Road ,,
Sungei Kadut Street 1,,
Towner Road ,,
Ong Lye ,,
Bedok North Avenue 2 ,39077.5057125092,34527.0856277049
Senja Road ,,
HenDrivey Cl ,,
Recreation Lane ,32517.981437296603,37138.7043625247
Eunos Cres ,,
Hougang Avenue 7 ,,
Woodlands Street 82,23168.8293882245,47077.5412960183
"Kings Drive, Road ",,
Chai Chee Road ,38190.2934795152,34348.8234877847
Bedok North Street 2 ,39325.1157076955,34730.382205082096
AlexanDrivea Road ,,
Lorong 3 Geylang Road ,,
Lucky Hts ,,
Farrer Road ,,
Hougang Avenue 8 ,34848.5001058104,39827.473766399504
Seletar North Lk,,
Serangoon Avenue 4 ,32435.6128402594,37600.1827548314
Farrer Road,,
Bukit Batok EaStreet Avenue 3 ,,
Joo Seng Road ,,
Woodlands Avenue 1 ,,
Kee Choe Avenue,,
Pasir Ris Street 72 ,,
Bedok Road ,,
"Jalan Limau Manis, Nipis",,
Tampines Avenue 2 ,,
Dunman Road,,
Jalan Daud ,,
North Canal Road ,,
Lorong 4 Toa Payoh ,,
How Sun Drive ,,
Jalan Hikayat ,,
"Pasir Ris Hts, View ",,
Lorong 3 Geylang ,,
EaStreetwood Drive ,,
GuillemaRoad Road ,,
Swiss View ,,
Pine Cl,33550.466189933904,32243.2548700552
Bt Batok Street 33 ,,
Cassia Cres,33629.2494837642,32414.1509329211
White House Road,,
Lorong Mydin ,,
Kensington Park Drive ,,
Almond Street,21303.9373694547,39243.7620264217
Telok Blangah Hts ,,
Braddell Road ,31523.216978916,36314.9742916953
Margate Road ,34245.9133722568,31338.1690294594
Kang Ching Road,15710.494461068898,35640.3567185309
"Peakville Gr, Walk",,
Jurong WeStreet Street 64 ,,
Jalan Merah Saga ,,
Arozoo Avenue ,,
Klang Lane ,,
Streetirling Road ,,
Sunset Vale ,,
Jalan Ismail ,,
Frankel Avenue ,,
StreetuRoadee Road,,
"Pasir Ris Drive 3, Drive 4, Lk, Rise ",,
Fernvale Cl,,
Choa Chu Kang Avenue 2 ,18274.3004964814,40109.0160782151
"Lorong 1, 4, 6, 7Realty Park ",,
Cairnhill Circle,28566.970643917997,32085.9371457566
Boundary Cl ,,
Flower Road ,,
Windsor Park Road,,
Choa Chu Kang Street 51,,
Geylang EaStreet Avenue 2 ,,
BaleStreetier Road ,,
Holland Cl ,,
"Yunnan Drive 1,Road",,
Geylang EaStreet Avenue 1 ,,
Bt Batok WeStreet Avenue 4 ,,
Bayshore Road ,,
Seletar North Lk,,
Pasir Ris Drive 1 ,40998.8585081911,39258.6111965533
Yishun Street 31 ,29307.905732622403,45931.3673632238
Tanah Merah Kechil Road ,,
Woodlands Drive 14 ,,
Lakeside Drive,15278.652087247,36128.3689939398
Owen Road ,,
Begonia Drive,,
Serangoon Avenue 2 ,31972.508270259,37294.217328025
Pandan Gardens ,,
Telok Blangah Cres ,,
Casuarina Walk ,27310.1167133721,39852.0821819864
Whampoa Drive,30719.291370905,34105.8726130649
Yishun Avenue 11 ,29176.316551183398,45655.368239142
Old Airport Road ,,
Marigold Drive,,
Ang Mo Mio Avenue 1 ,,
Teck Whye Lane ,,
Jalan Melati ,,
Limau Gdn ,,
Bishan Street 23 ,,
Margoliouth Road,27096.3064913163,33406.013690507
Akyab Road ,29595.9222753514,33886.0560728554
Bangkit Road ,,
Hougang Avenue 2 ,,
Jalan Molek ,,
Eunos Avenue 7 ,35307.2960283281,33966.5495380349
Lorongong Marican ,,
Toh Guan Road EaStreet ,,
Bishan Street 23 ,29516.5829283921,37461.9297135603
Lorong 3 Geylang,,
Jalan Eunos ,,
WoodlandsAvenue6,,
Jalan Berseh ,,
Rosyth Road ,,
"Bright Hill Cres, Drive ",,
Carisbrooke Grove ,,
Beo Cres ,,
Carpmael Road ,,
Chai Chee Driveive ,,
McNair Road ,,
Marine Terminal,,
Buckley Road ,28728.260344916,33188.5394684859
Ghim Moh Road ,22829.048146259,32797.138813605496
Choa Chu Kang Avenue 2 ,,
Leedon Hts ,,
"Lorong 14, 16, 20Geylang",,
"Lorong 4, 8, 10, 12,16 Geylang",,
Bishan Street 13 ,,
Marsiling Lane ,,
"Lorong K, L TelokKurau",,
Hougang Avenue 8 ,,
"VeRoade Avenue, Grove, Pl, Walk",,
Holland Avenue,23797.752112803,32406.265336195
"Bedok Cl, Rise, Terminal ",,
Quemoy Road ,,
Serangoon Ctrl ,,
Jurong WeStreet Street 92 ,,
Ho Ching Road ,15756.7578029251,35120.5024637152
Tai Yuan Hts,,
Jurong EaStreet Street 21,,
Hougang Avenue 5,34745.3127960879,38868.5948176384
Bedok Reservoir View ,39340.0861011017,35405.2074468825
Sembawang Pl ,,
